Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-06-27 00:00:00+00:00,-0.11,-0.12,0.075,0.01,-0.355,-0.145,-0.095,-0.045,-0.04,-0.015,-0.045,-0.04,-0.04,-0.02,-0.02
2006-06-28 00:00:00+00:00,-0.115,-0.115,0.07,0.01,-0.36,-0.15,-0.09,-0.045,-0.04,-0.02,-0.035,-0.035,-0.045,-0.025,-0.015
2006-06-29 00:00:00+00:00,-0.115,-0.1,0.03,0.01,-0.31,-0.135,-0.09,-0.04,-0.045,-0.02,-0.035,-0.065,-0.045,-0.01,-0.025
2006-06-30 00:00:00+00:00,-0.105,-0.11,0.04,0.01,-0.34,-0.14,-0.085,-0.045,-0.04,-0.025,-0.035,-0.04,-0.045,-0.025,-0.015
2006-07-03 00:00:00+00:00,-0.11,-0.105,0.035,0.01,-0.35,-0.15,-0.09,-0.045,-0.04,-0.02,-0.035,-0.04,-0.045,-0.02,-0.02
2006-07-04 00:00:00+00:00,-0.105,-0.105,0.03,0.01,-0.335,-0.155,-0.09,-0.05,-0.035,-0.02,-0.03,-0.045,-0.04,-0.03,-0.015
2006-07-05 00:00:00+00:00,-0.115,-0.12,0.055,0.01,-0.37,-0.155,-0.095,-0.05,-0.045,-0.02,-0.035,-0.04,-0.045,-0.03,-0.02
2006-07-06 00:00:00+00:00,-0.1,-0.135,0.07,0.01,-0.405,-0.165,-0.09,-0.04,-0.035,-0.02,-0.035,-0.025,-0.04,-0.015,-0.01
2006-07-07 00:00:00+00:00,-0.11,-0.115,0.05,0.01,-0.37,-0.155,-0.075,-0.035,-0.04,-0.02,-0.035,-0.03,-0.035,-0.015,-0.02
2006-07-10 00:00:00+00:00,-0.115,-0.125,0.06,0.01,-0.385,-0.165,-0.08,-0.035,-0.035,-0.02,-0.035,-0.03,-0.035,-0.02,-0.025
2006-07-11 00:00:00+00:00,-0.115,-0.115,0.05,0.01,-0.365,-0.155,-0.07,-0.035,-0.035,-0.02,-0.03,-0.035,-0.03,-0.015,-0.02
2006-07-12 00:00:00+00:00,-0.11,-0.12,0.055,0.01,-0.375,-0.17,-0.075,-0.035,-0.03,-0.015,-0.035,-0.03,-0.04,-0.015,-0.025
2006-07-13 00:00:00+00:00,-0.115,-0.095,0.035,0.01,-0.325,-0.145,-0.065,-0.035,-0.03,-0.025,-0.03,-0.06,-0.025,-0.025,-0.02
2006-07-14 00:00:00+00:00,-0.105,-0.11,0.03,0.01,-0.305,-0.125,-0.055,-0.03,-0.04,-0.02,-0.035,-0.03,-0.025,-0.02,-0.015
